GeneID	Ensembl_protein_identifier
11938	ENSMUSP00000136104.2
11941	ENSMUSP00000086398.6
11941	ENSMUSP00000098605.3
11941	ENSMUSP00000145174.2
11941	ENSMUSP00000098606.4
11941	ENSMUSP00000138165.2
11944	ENSMUSP00000005692.7
11944	ENSMUSP00000131964.2
11945	ENSMUSP00000033826.3
11946	ENSMUSP00000026495.9
11947	ENSMUSP00000026459.6
11949	ENSMUSP00000110546.2
11949	ENSMUSP00000026887.8
11949	ENSMUSP00000110547.3
11950	ENSMUSP00000113022.2
11951	ENSMUSP00000103312.2
11951	ENSMUSP00000103314.2
11951	ENSMUSP00000088029.6
11957	ENSMUSP00000109829.2
11957	ENSMUSP00000023608.8
11957	ENSMUSP00000109831.2
11958	ENSMUSP00000051222.10
11958	-
11964	ENSMUSP00000066886.7
11964	ENSMUSP00000110314.3
11966	ENSMUSP00000006435.8
11972	ENSMUSP00000013304.7
11973	ENSMUSP00000019354.9
11974	ENSMUSP00000015719.9
11975	ENSMUSP00000090333.4
11975	ENSMUSP00000099399.4
11975	ENSMUSP00000044838.7
11977	ENSMUSP00000058840.7
11977	ENSMUSP00000109186.2
11979	ENSMUSP00000006742.5
11980	ENSMUSP00000042215.9
11980	ENSMUSP00000072738.8
11980	ENSMUSP00000118379.3
11981	ENSMUSP00000104804.3
11981	ENSMUSP00000104806.2
11981	ENSMUSP00000029060.5
11982	ENSMUSP00000129811.2
11983	ENSMUSP00000064282.7
11984	ENSMUSP00000111059.2
11984	ENSMUSP00000024932.6
11987	ENSMUSP00000117781.2
11987	ENSMUSP00000046714.9
11988	ENSMUSP00000096414.4
11988	ENSMUSP00000058866.9
11988	ENSMUSP00000112848.2
11989	ENSMUSP00000073582.5
11989	ENSMUSP00000098914.2
11989	ENSMUSP00000109339.2
11990	ENSMUSP00000028781.9
11991	ENSMUSP00000132735.2
11991	ENSMUSP00000108561.4
11991	ENSMUSP00000072533.7
11991	ENSMUSP00000019128.9
